,Neighborhood,Latitude,Longitude,Venue,Venue Category,Venue id,Venue Latitude,Venue Longitude,Rating,Tier,Likes
0,"4065, Basel",47.5617,7.6067,L'Entrée,Swiss Restaurant,51000a95e4b0cc1b11b60b9c,47.56642087458443,7.598161697387695,,3.0,0
1,"1200, Genève",46.2,6.1667,Restaurant Hotel du Parc des Eaux-Vives,French Restaurant,4bce0c53cc8cd13abda5c3cf,46.207858443883694,6.169256479396912,8.1,3.0,51
2,"1200, Genève",46.2,6.1667,Restaurant BEEF,Steakhouse,4feb828be4b00d7f2c696aca,46.19934920719163,6.1564835728450875,8.1,4.0,13
3,"1200, Genève",46.2,6.1667,Restaurant La Bouche Chérie,Steakhouse,4bc1fe9c920eb713a26a1b2c,46.202915358892646,6.155229544685572,6.0,4.0,10
4,"1200, Genève",46.2,6.1667,Restaurant Chez Kei,Chinese Restaurant,4b9409f5f964a5204b6334e3,46.198497254180516,6.157152899505939,6.2,1.0,4
5,"1200, Genève",46.2,6.1667,Restaurant l'Arrosoir,,4ffa0304e4b033b23cb88842,46.197081,6.164063,,,0
6,"1200, Genève",46.2,6.1667,Persepolis Restaurant,Persian Restaurant,4fb92a2de4b0aeab77e9b035,46.20321621415007,6.167133341243277,,,1
7,"1200, Genève",46.2,6.1667,Restaurant Du Nant,Café,4c068e8d2e80a593544774f9,46.20272175992213,6.1612661509549715,,1.0,1
8,"1200, Genève",46.2,6.1667,Restaurant Bangkok,,4fe63c94e4b04d88c6435891,46.192635481278174,6.163879251591825,,,0
9,"1200, Genève",46.2,6.1667,Restaurant Etoile Espagnole,,501c4a54e4b0063e030ff6ee,46.203071,6.158404,,,0
10,"1200, Genève",46.2,6.1667,Restaurant Le Velours,,4f9c689ae4b0d8e622c39112,46.20192077634791,6.158645944655292,,,0
11,"1200, Genève",46.2,6.1667,Restaurant Déjà Vu,,501d9bbae4b02330f64d6e11,46.1988587359165,6.153444946692553,,,0
12,"1200, Genève",46.2,6.1667,Restaurant Bourlingue,,5015b291e4b0c7c30dd4e211,46.19990307188298,6.157117486480838,,,0
13,"1200, Genève",46.2,6.1667,Restaurant Le 20,,4ff8b195e4b0463f71e8f9d1,46.200844,6.157134,,,0
14,"1200, Genève",46.2,6.1667,Restaurant - Salon de Thé Wang,Chinese Restaurant,5613fa48498ee2f426ca10e5,46.20312228054566,6.15765342781558,,1.0,1
