,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue id
0,"3000, Bern",46.9167,7.4667,Tanaka Newstyle Restaurant,46.915384,7.468045,Japanese Restaurant,4bd972032e6f0f47e78b0a08
1,"3000, Bern",46.9167,7.4667,Migros,46.922321760927375,7.459652423858643,Grocery Store,4c74e2953adda143afbf05af
2,"3000, Bern",46.9167,7.4667,Coop Supermarkt Kehrsatz,46.91079718,7.47057207,Supermarket,4c93e0480341370487b26cef
3,"3000, Bern",46.9167,7.4667,Bahnhof Kehrsatz Nord,46.91565091779551,7.466390698262216,Train Station,4cf94286a348f04df1b6fc5c
4,"3000, Bern",46.9167,7.4667,Kilchenmann,46.91514481846759,7.467549056430436,Electronics Store,4ca7052ab7106dcbf8b663a5
5,"3000, Bern",46.9167,7.4667,Jugendtreff 66,46.915506585296946,7.4739646911621085,Bar,52879e3911d258363b039b74
6,"3000, Bern",46.9167,7.4667,Lidl Schweiz,46.911162542839996,7.4708062772460835,Convenience Store,5a29778b780eee0ab39878d5
7,"3000, Bern",46.9167,7.4667,Tennis & Badminton,46.91014571424358,7.4693142052300665,Tennis Court,4c5e70606147be9ac6fd9409
8,"3000, Bern",46.9167,7.4667,Il Brunello,46.909661755337176,7.4706193203017985,Italian Restaurant,4c926d0bf600236ad4fabc32
9,"3000, Bern",46.9167,7.4667,Walker Bed & Breakfast,46.90909948147664,7.468642749312769,Bed & Breakfast,4e57d165b0fb4c4d61f6285a
10,"3000, Bern",46.9167,7.4667,Denner,46.92296659286843,7.459837496280669,Discount Store,4ca72646a6e08cfa66638194
11,"3000, Bern",46.9167,7.4667,Bahnhof Kehrsatz,46.90910852023978,7.471415059796771,Train Station,4ca4cc88750ca0930b862467
12,"3001, Bern",46.946999999999996,7.4404,Bundesplatz,46.947414060119144,7.443817244257114,Plaza,4b6b28aff964a52094f62be3
13,"3001, Bern",46.946999999999996,7.4404,Cupcake Affair,46.947388990806076,7.438963637276443,Cupcake Shop,511bcaf7e4b029c12f0c8e47
14,"3001, Bern",46.946999999999996,7.4404,Kleine Schanze,46.9458129494892,7.441231334159888,Park,4bc9e00ecc8cd13a9351bccf
15,"3001, Bern",46.946999999999996,7.4404,Energy Kitchen Restaurant,46.94761470696098,7.440733342004587,Restaurant,4b5b056af964a52048df28e3
16,"3001, Bern",46.946999999999996,7.4404,Stauffacher,46.949237,7.442023,Bookstore,4b9ba707f964a520e71636e3
17,"3001, Bern",46.946999999999996,7.4404,Bundesterrasse,46.946191,7.443089,Park,4bbcc96ba0a0c9b60ccb1a0f
18,"3001, Bern",46.946999999999996,7.4404,Hotel Schweizerhof,46.94868779494558,7.440544750649357,Hotel,4da9704c6e81162ae7bc9653
19,"3001, Bern",46.946999999999996,7.4404,Grosse Schanze,46.94952171129481,7.438418179910403,Park,4cd3baf7558a3704cfefc2a6
20,"3001, Bern",46.946999999999996,7.4404,Sprüngli,46.94870057756186,7.44009637232593,Dessert Shop,50647afa498ee7dbb89f4fca
21,"3001, Bern",46.946999999999996,7.4404,Läderach Chocolatier Suisse,46.948751765194615,7.439971743577536,Gourmet Shop,5061d06be4b08854471717df
22,"3001, Bern",46.946999999999996,7.4404,tibits,46.9469762377536,7.441899444060252,Vegetarian / Vegan Restaurant,527e4b68498e8d519190d6dc
23,"3001, Bern",46.946999999999996,7.4404,Café-Bar Turnhalle,46.95028381074724,7.443385325664617,Bar,4b8862b9f964a520f3f331e3
24,"3001, Bern",46.946999999999996,7.4404,Migros,46.94813202006709,7.444727765228771,Supermarket,4b644e06f964a5208ba92ae3
25,"3001, Bern",46.946999999999996,7.4404,Sky Terrace,46.9486966166969,7.441186380804768,Cocktail Bar,500d71bae4b0ca8f7d0ee0da
26,"3001, Bern",46.946999999999996,7.4404,Bärenplatz,46.94821167104291,7.4436115116351065,Plaza,4b767e7df964a520f14e2ee3
27,"3001, Bern",46.946999999999996,7.4404,Santa Lucia,46.94791056304575,7.443648921848735,Italian Restaurant,4f5a5436e4b081a30f72c63e
28,"3001, Bern",46.946999999999996,7.4404,Rendez-vous Bundesplatz,46.947161880350414,7.444121245300734,Performing Arts Venue,50cb7fabe4b0212e7e27274b
29,"3001, Bern",46.946999999999996,7.4404,Restaurant Café Domino Bern El Husseini,46.94696150005305,7.438900778155614,Middle Eastern Restaurant,4c0000a375fc952108a84898
30,"3001, Bern",46.946999999999996,7.4404,7 Machos,46.948004318102036,7.443740518688526,Food Truck,527b83d711d20bda7072bd44
31,"3001, Bern",46.946999999999996,7.4404,digitec AG,46.9473486926528,7.43535327713165,Electronics Store,5034a7bfe4b00b01107115d9
32,"3001, Bern",46.946999999999996,7.4404,Pomodoro,46.9490549858025,7.4420881475075795,Italian Restaurant,4c527f019d642d7f1b744adf
33,"3001, Bern",46.946999999999996,7.4404,Bellevue Palace Bern,46.94679930039973,7.446865676225975,Hotel,4ba0f4a7f964a520ee8937e3
34,"3001, Bern",46.946999999999996,7.4404,toi et moi,46.94840786145487,7.439849784864503,Restaurant,546f5005498e96a88fffe921
35,"3001, Bern",46.946999999999996,7.4404,Fizzen,46.949419991963,7.442416548728943,Clothing Store,4d8db183c1b1721e354b1e46
36,"3001, Bern",46.946999999999996,7.4404,Café Litteraire,46.948751279999996,7.441937923909764,Café,4cc181886ad3a1432a52dcde
37,"3001, Bern",46.946999999999996,7.4404,Adriano's Bar & Café,46.94791350008228,7.447427505739073,Café,4b768892f964a520d5502ee3
38,"3001, Bern",46.946999999999996,7.4404,Hammam & Spa Oktogon,46.945435,7.44521,Spa,4c08cd1d7e3fc9284fd9f082
39,"3001, Bern",46.946999999999996,7.4404,Welle 7,46.94822732974122,7.436962398318121,Shopping Mall,53a1c15c498ea185a5d3213c
40,"3001, Bern",46.946999999999996,7.4404,Restaurant Lötschberg,46.949125081785844,7.445457205493958,Swiss Restaurant,4b58c9a6f964a520346b28e3
41,"3001, Bern",46.946999999999996,7.4404,Zytglogge,46.948084226037416,7.447554518652232,Monument / Landmark,4ba648d9f964a5206a4239e3
42,"3001, Bern",46.946999999999996,7.4404,Ristorante Pizzeria Rialto,46.949373286771625,7.443712657416921,Italian Restaurant,4bd43276462cb7131bd5df07
43,"3001, Bern",46.946999999999996,7.4404,Effinger,46.94586015382028,7.435849074789166,Café,56ebb6b3498e6e5cae0bb3c1
44,"3001, Bern",46.946999999999996,7.4404,Gelateria di Berna,46.942587332798134,7.443261292012535,Ice Cream Shop,51d5b27d498ed970906c0577
45,"3001, Bern",46.946999999999996,7.4404,Bahnhof Bern / Gare de Berne (Bahnhof Bern),46.948628997076945,7.437347173690795,Train Station,4b2610b0f964a520477824e3
46,"3001, Bern",46.946999999999996,7.4404,Starbucks,46.94711103509435,7.437852250856987,Coffee Shop,4b61bad2f964a5202a1f2ae3
47,"3001, Bern",46.946999999999996,7.4404,da Bucolo,46.94736620466412,7.446579884054323,Pizza Place,4c9b0f9b553cef3b9451d977
48,"3001, Bern",46.946999999999996,7.4404,LOEB Warenhaus,46.9476349609155,7.440921700857479,Department Store,4b572c33f964a5207d2928e3
49,"3001, Bern",46.946999999999996,7.4404,Entrecôte Café Fédéral,46.94743979006458,7.443806154494145,French Restaurant,4b80066cf964a520b64b30e3
50,"3001, Bern",46.946999999999996,7.4404,Jack's Brasserie,46.948652946927396,7.440549419194556,Gastropub,4c126b14a1010f4771ca4818
51,"3001, Bern",46.946999999999996,7.4404,Vapiano,46.94791814804769,7.437846315073071,Italian Restaurant,56fe57d1498e61f8c2d64c9b
52,"3001, Bern",46.946999999999996,7.4404,Kornhauskeller,46.94868406324171,7.447466470677803,Swiss Restaurant,4b65b8d7f964a520c7fb2ae3
53,"3001, Bern",46.946999999999996,7.4404,Bernmobil Bern Bahnhof,46.947609340216,7.44034499425663,Tram Station,4e385e478130e54b830a001f
54,"3001, Bern",46.946999999999996,7.4404,CLUB BONSOIR,46.94953675972327,7.442553026273076,Nightclub,4bf71ca28d30d13a7b71fe17
55,"3001, Bern",46.946999999999996,7.4404,Marzilibad,46.94237079495659,7.444264244411303,Bathing Area,4bc9d12668f976b0bce15d83
56,"3001, Bern",46.946999999999996,7.4404,Luce,46.94928259467148,7.444163934414115,Italian Restaurant,4b015e09f964a520404222e3
57,"3001, Bern",46.946999999999996,7.4404,Rice Up!,46.948737962493944,7.440029542096664,Thai Restaurant,56f03876498e06e63b32c3ce
58,"3001, Bern",46.946999999999996,7.4404,La Chouette,46.95179857786839,7.441505430860997,Creperie,5113dad2e4b0109e8f9f748f
59,"3001, Bern",46.946999999999996,7.4404,Hirschengraben Bern,46.94623640203112,7.437671498587121,Plaza,50cc87f6e4b04e1f3f793481
60,"3001, Bern",46.946999999999996,7.4404,Berner Altstadt,46.94804233074905,7.448347118075007,Neighborhood,4f3155d4e4b0f99d8836ac09
