,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
0,"1000, Lausanne",Swiss Restaurant,French Restaurant,IT Services,Pizza Place,Athletics & Sports,Event Space,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,2,46.5534,6.6971
1,"1001, Lausanne",Bar,French Restaurant,Burger Joint,Japanese Restaurant,Italian Restaurant,Plaza,Chinese Restaurant,Restaurant,Pizza Place,Wine Bar,6,46.5224,6.6303
2,"1002, Lausanne",Bar,Italian Restaurant,Thai Restaurant,Park,Sandwich Place,Gastropub,Tea Room,Boutique,Coffee Shop,Pool,6,46.5195,6.6322
3,"1004, Lausanne",Grocery Store,Supermarket,Bus Stop,Bar,Italian Restaurant,Gas Station,Theater,Sushi Restaurant,Chinese Restaurant,Steakhouse,6,46.5285,6.6187
4,"1005, Lausanne",Italian Restaurant,Supermarket,Hotel,Park,Coffee Shop,Café,Burger Joint,English Restaurant,Middle Eastern Restaurant,Fast Food Restaurant,6,46.5199,6.6425
5,"1006, Lausanne",Hotel,Café,Italian Restaurant,Bar,Hotel Bar,French Restaurant,Japanese Restaurant,Nightclub,Plaza,Restaurant,6,46.5112,6.6371
6,"1007, Lausanne",Bus Station,Swiss Restaurant,Hostel,Beach,Bus Stop,Supermarket,Asian Restaurant,Hotel,Cafeteria,Steakhouse,3,46.5177,6.609
7,"1010, Lausanne",Supermarket,Metro Station,Bakery,Gas Station,Swiss Restaurant,Aquarium,Bus Stop,Bus Station,Ethiopian Restaurant,Electronics Store,1,46.5362,6.6589
8,"1011, Lausanne",Department Store,Gym / Fitness Center,Scenic Lookout,Plaza,Swiss Restaurant,Farmers Market,Metro Station,Café,Mediterranean Restaurant,Snack Place,6,46.5249,6.6431
9,"1012, Lausanne",Bus Line,Zoo,Dive Bar,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,Event Space,9,46.5263,6.657
